0.00000000	0.00000000	0.00000000	  -0.12879753   -0.00034178 -493.16934204   -0.00196313    4.50435925   -0.00000161	  -0.12663010   -0.00036370 -485.74227905    0.00173416    4.43422031   -0.00000343	   0.00001330    0.00001274 -515.97962676   -0.00367752  -10.66907000    0.00000073	   0.00000200   -0.00001181 -508.55256346    0.00002028  -10.51624854    0.00000059	  0.00040260   0.10599447 -15.25978894 -46.41581851   6.11609553  -0.00199071   0.00035529  -0.00750015 -15.04649945 -45.59646771   6.04576744   0.00169926  -0.00028994  15.78579532  -0.32477125   0.00128694   0.94351880   0.26129752   0.15474419  -2.11644857  -0.03444446  -0.18404319   0.00011607   0.00001427  -0.51725690  -0.00151724  -0.94384171  -0.26219969  -0.15499129   2.11644384   0.03443273   0.18404299  -0.00011617	-0.00000068 -0.00000810 -0.23668764  0.58960121 -0.35355170 -0.00001689  0.00000505 -0.00001338 -0.23670310  0.58968290 -0.35360543 -0.00001229 -0.00000116 -0.00019945 -0.00000514  0.30000773  0.29999884  1.49999263 -1.27000388 -1.00105629  0.00000775 -1.00000995  0.00000824 -0.00000354  0.00000284 -0.29999314 -0.29999069 -1.49998884  1.27000640  1.00105108 -0.00000047  0.99999989  0.00000295	-0.00020420  0.00002140 -0.00022047  0.00003433 -0.00016677  0.00006593 -0.00007679 -0.00008947 -0.00011952 -0.00013786  0.00017273  0.00016140  0.00003505  0.00021309 -0.00010587  0.00010049  0.00001580 -0.00015392 -0.00008966 -0.00013528  0.00017307 -0.00021676  0.00018424 -0.00009498  0.00009658  0.00022260  0.00021420  0.00021732  0.00013534 -0.00001046 -0.00001356 -0.00000503  0.00006601	 0.00000915  0.00002796  0.00000102 -0.00003007  0.00000983 -0.00000001 -0.00000000 -0.00000000  0.00000000 -0.00000000 -0.00000000  0.00000000 -0.00000000 -0.00000000  0.00000000  0.00000000  0.00000000 -0.00000000  0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.00000000  0.00000000  0.00000000 -0.00000000  0.00000000  0.00000000 -0.00000000  0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000  0.00000000	
0.00443600	0.00229453	0.00000000	  -0.12906678   -0.00008776 -493.16976929   -0.00212908    4.50378132   -0.00012778	  -0.12710463   -0.00039566 -485.74353027    0.00121103    4.43367481    0.00010840	  -0.00005116    0.00007422 -515.97973159   -0.00372166  -10.66921702   -0.00003037	  -0.00011121   -0.00001895 -508.55286455   -0.00010523  -10.51639646    0.00002895	 -0.00005435   0.10416904 -15.26191174 -46.42138226   6.11491238  -0.00335029   0.00104777  -0.00889071 -15.04912358 -45.60076877   6.04440129  -0.00153365   0.00107323  15.78314340  -0.32533608   0.00135774   0.94308273   0.26133420   0.15462820  -2.11606089  -0.03437763  -0.18402330   0.00014053   0.00002663  -0.51715250  -0.00157708  -0.94361176  -0.26208315  -0.15496676   2.11607588   0.03444635   0.18400143  -0.00010531	 0.00000350 -0.00001731 -0.23668463  0.58959579 -0.35353588 -0.00001156  0.00000735 -0.00000538 -0.23668822  0.58968541 -0.35361226 -0.00001120  0.00000406 -0.00020742  0.00000694  0.30001026  0.29999320  1.50000483 -1.27000916 -1.00104855 -0.00000447 -0.99999595 -0.00000222  0.00000964 -0.00000859 -0.30000107 -0.29999182 -1.50000851  1.26999082  1.00105670 -0.00000793  0.99999825  0.00000493	-0.00010190 -0.00020656 -0.00014720 -0.00009838  0.00023276  0.00020217 -0.00003465  0.00010760  0.00024964 -0.00008051  0.00001288  0.00019713  0.00017280  0.00000839  0.00019621  0.00016449 -0.00012610  0.00014942 -0.00022103  0.00006396 -0.00013351  0.00012972 -0.00006296  0.00023797 -0.00019230  0.00003010  0.00019653 -0.00027835 -0.00025071  0.00013205 -0.00021013 -0.00004851  0.00011698	 0.00000917  0.00002796  0.00000102 -0.00003004  0.00000988 -0.00000001  0.00000000 -0.00000002 -0.00000003 -0.00000002 -0.00000003 -0.00000007  0.00000000 -0.00000003 -0.00000004 -0.00000001 -0.00000002 -0.00000006 -0.00000000  0.00000001 -0.00000000 -0.00000001  0.00000000 -0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.00000000 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.00000000  0.00000000 -0.00000000 -0.00000000  0.00000000 -0.00000000	
0.01288400	0.00715977	0.00000000	  -0.13147572    0.00212975 -493.16818237   -0.00376118    4.49977493   -0.00083532	  -0.13084550    0.00018453 -485.75067139   -0.00244080    4.42998266    0.00096797	  -0.00192986    0.00180522 -515.97935383   -0.00517021  -10.67269352   -0.00071250	  -0.00313890    0.00031938 -508.55937395   -0.00320980  -10.51991419    0.00072332	 -0.00068272   0.10165883 -15.26483089 -46.42903320   6.11328538  -0.00521991   0.00200003  -0.01080292 -15.05273212 -45.60668333   6.04252263  -0.00597937  -0.00076792  15.77722165  -0.32579028   0.00142464   0.94344573   0.26122797   0.15461789  -2.11540471  -0.03453244  -0.18396653   0.00015061   0.00000253  -0.51700191  -0.00156074  -0.94382520  -0.26203796  -0.15472069   2.11545516   0.03431771   0.18391838  -0.00012565	 0.00000482 -0.00000329 -0.23667717  0.58959191 -0.35355004 -0.00001676 -0.00000068  0.00000047 -0.23669924  0.58968134 -0.35361285 -0.00002263 -0.00001213 -0.00020106 -0.00000206  0.29999513  0.29998877  1.50000772 -1.27000806 -1.00104054 -0.00000216 -1.00000036 -0.00000021  0.00000752  0.00000354 -0.29999629 -0.29999284 -1.49999647  1.27000059  1.00104349 -0.00000166  1.00000545 -0.00000858	-0.00006305  0.00011762  0.00002990 -0.00016781 -0.00010348  0.00006768 -0.00020705  0.00022215 -0.00002164 -0.00015958 -0.00000654 -0.00007978 -0.00020370  0.00014585 -0.00002393 -0.00018744 -0.00020800  0.00019572 -0.00016477  0.00021875 -0.00005961  0.00001056 -0.00001680  0.00015285  0.00008847  0.00013265  0.00015262  0.00001664 -0.00000914 -0.00017064 -0.00003936  0.00011494 -0.00019069	 0.00000966  0.00002796  0.00000102 -0.00002848  0.00001210  0.00000020  0.00000029 -0.00000116 -0.00000157 -0.00000087 -0.00000154 -0.00000356  0.00000013 -0.00000129 -0.00000182 -0.00000049 -0.00000104 -0.00000277 -0.00000013  0.00000033 -0.00000003 -0.00000007  0.00000009 -0.00000008  0.00000003  0.00000006  0.00000001 -0.00000000 -0.00000000 -0.00000003 -0.00000012 -0.00000003 -0.00000023  0.00000014  0.00000003 -0.00000005  0.00000001  0.00000000 -0.00000000	
0.01790700	0.00995110	0.00000000	  -0.14447732    0.01463982 -493.15661621   -0.02030389    4.47354507   -0.00493888	  -0.15286149    0.00662773 -485.82049561   -0.02837397    4.40601015    0.00763751	  -0.01006030    0.00916653 -515.97446457   -0.01593058  -10.68939420   -0.00414518	  -0.01736852    0.00372990 -508.60175848   -0.01966123  -10.53726788    0.00411563	 -0.00820362   0.07398248 -15.29163866 -46.50416823   6.09708921  -0.03582337   0.01036320  -0.03239236 -15.08755956 -45.66559034   6.02311011  -0.05409172  -0.02163720  15.74660165  -0.31353856   0.00179831   0.93994819   0.25979087   0.15492341  -2.10917679  -0.03402961  -0.18342062  -0.00018675  -0.00010143  -0.51568206  -0.00182057  -0.93989076  -0.26055087  -0.15474323   2.10958397   0.03532413   0.18317942   0.00005338	 0.00000172 -0.00001842 -0.23668349  0.58959021 -0.35354315 -0.00002102  0.00001153 -0.00000761 -0.23669820  0.58969876 -0.35361734 -0.00001798 -0.00000887 -0.00021782 -0.00000286  0.30000714  0.30000597  1.50000041 -1.27000336 -1.00104067  0.00000809 -0.99999525  0.00000799 -0.00000072  0.00000017 -0.30000366 -0.30000140 -1.49998865  1.26999183  1.00104920  0.00000171  0.99999314  0.00000093	-0.00014927 -0.00025102 -0.00012900 -0.00019925  0.00006912 -0.00004024  0.00009815  0.00001924  0.00000229  0.00027272 -0.00011029  0.00004352 -0.00011580 -0.00025778 -0.00004241  0.00011241  0.00021222  0.00000706 -0.00004229  0.00021395  0.00019387  0.00013324  0.00018380 -0.00004798  0.00000832 -0.00004948 -0.00005675  0.00020817 -0.00021929 -0.00003650  0.00004219 -0.00018582  0.00003935	 0.00001242  0.00002796  0.00000102 -0.00002259  0.00001948  0.00000085  0.00000144 -0.00000532 -0.00000674 -0.00000372 -0.00000664 -0.00001745  0.00000078 -0.00000593 -0.00000784 -0.00000210 -0.00000448 -0.00001364 -0.00000065  0.00000133 -0.00000011 -0.00000059  0.00000040 -0.00000020  0.00000018  0.00000029  0.00000008  0.00000001 -0.00000001 -0.00000020 -0.00000049 -0.00000013 -0.00000089  0.00000061  0.00000013 -0.00000020  0.00000003  0.00000001 -0.00000000	
0.02639600	0.01466852	0.00000000	  -0.15488407    0.02383496 -493.12402344   -0.03385258    4.45914459   -0.00868183	  -0.16966741    0.01451961 -485.85052490   -0.04360167    4.39255476    0.00919218	  -0.01585202    0.01453897 -515.96193668   -0.02366776  -10.69933243   -0.00583324	  -0.02659823    0.00742945 -508.62603326   -0.02988949  -10.54763583    0.00637941	 -0.01324418   0.05603610 -15.30605228 -46.54773190   6.08765379  -0.06261184   0.01441751  -0.04670952 -15.10747701 -45.70097376   6.01128573  -0.08532430   0.02485049  15.69735010  -0.32029417   0.00135151   0.93702259   0.26045796   0.15358089  -2.10671948  -0.03268973  -0.18333628  -0.00009963  -0.00014542  -0.51505728   0.00030717  -0.93965348  -0.26090608  -0.15412246   2.10720873   0.03391608   0.18324828   0.00039775	 0.00000533 -0.00001547 -0.23667212  0.58959615 -0.35353820 -0.00002470  0.00001816 -0.00001528 -0.23670163  0.58968198 -0.35360697 -0.00001820  0.00000232 -0.00020321 -0.00000164  0.30000408  0.29999120  1.50000909 -1.26999030 -1.00105739  0.00000100 -0.99999183  0.00000313  0.00001017  0.00000784 -0.30000146 -0.30001018 -1.49999019  1.27000572  1.00105983 -0.00000657  1.00000755 -0.00000526	-0.00005415 -0.00015215  0.00013282 -0.00004657  0.00016708 -0.00010878  0.00022839 -0.00014677 -0.00007799 -0.00012559  0.00012902  0.00003235  0.00013904  0.00009664 -0.00001527  0.00003278 -0.00013397  0.00019036  0.00024220 -0.00017656  0.00001211  0.00018499  0.00005835  0.00019657  0.00017419  0.00000844 -0.00023500  0.00015003  0.00011191  0.00019713 -0.00013873  0.00014801 -0.00009862	 0.00001450  0.00002796  0.00000103 -0.00001030  0.00003443  0.00000180  0.00000388 -0.00001347 -0.00001686 -0.00000900 -0.00001609 -0.00004544  0.00000228 -0.00001519 -0.00001964 -0.00000499 -0.00001085 -0.00003502 -0.00000168  0.00000339 -0.00000030 -0.00000118  0.00000117 -0.00000047  0.00000047  0.00000074  0.00000019  0.00000001 -0.00000003 -0.00000045 -0.00000114 -0.00000065 -0.00000209  0.00000156  0.00000038 -0.00000045  0.00000009  0.00000004 -0.00000001	
0.03091000	0.01690358	0.00000000	  -0.18805949    0.05606974 -493.01312256   -0.09617709    4.39993954   -0.02323882	  -0.22870947    0.04522486 -486.03637695   -0.11043287    4.33833885    0.01801052	  -0.04916199    0.04537360 -515.86082290   -0.08385329  -10.75656053   -0.01927665	  -0.08312780    0.03628295 -508.79995998   -0.09562410  -10.60971144    0.01566970	 -0.03765715  -0.02448732 -15.35920735 -46.72239954   6.04860219  -0.20227637   0.02817035  -0.11530389 -15.19005786 -45.84789019   5.96101587  -0.22326314   0.09093523  15.63325598  -0.32120057   0.00437144   0.94018639   0.26312095   0.15482653  -2.09629895  -0.03560950  -0.18115177   0.00182242   0.00042145  -0.51194113  -0.00211894  -0.93933333  -0.26470538  -0.15131331   2.09032625   0.03459088   0.18254044   0.00086868	 0.00001129  0.00000031 -0.23668362  0.58960599 -0.35354205 -0.00002855  0.00000793 -0.00000597 -0.23670764  0.58969660 -0.35361155 -0.00001735  0.00000294 -0.00020537  0.00000796  0.30000036  0.29999673  1.49999493 -1.27000231 -1.00105671 -0.00000601 -0.99999556  0.00000240  0.00000956 -0.00000181 -0.30000587 -0.29999797 -1.50000624  1.26999675  1.00104217 -0.00000367  1.00000756 -0.00000093	 0.00009377  0.00024412 -0.00015432  0.00019933  0.00006910 -0.00020178 -0.00003389  0.00009272 -0.00022684  0.00023351  0.00001093  0.00005139  0.00015563  0.00004627  0.00022085 -0.00005286  0.00000466 -0.00015714 -0.00006054 -0.00015902 -0.00015869  0.00009208  0.00003765  0.00018213 -0.00006023 -0.00009949  0.00006139 -0.00024926 -0.00010762 -0.00024391 -0.00006464  0.00015158  0.00000980	 0.00002579  0.00002794  0.00000111  0.00002302  0.00007071  0.00001067  0.00000642 -0.00003492 -0.00004125 -0.00002137 -0.00003856 -0.00012290  0.00000161 -0.00003970 -0.00004618 -0.00001198 -0.00002573 -0.00009348 -0.00000223  0.00000786 -0.00000104 -0.00000317  0.00000194 -0.00000100  0.00000115  0.00000178  0.00000044  0.00000008 -0.00000007 -0.00000129 -0.00000297 -0.00000069 -0.00000538  0.00000320  0.00000080 -0.00000113  0.00000016  0.00000005 -0.00000002	
0.03545200	0.01936038	0.00000000	  -0.20728113    0.07958643 -492.89755249   -0.13937414    4.36622143   -0.03276752	  -0.26504388    0.06914861 -486.17031860   -0.15132527    4.30807304    0.02232659	  -0.06856889    0.06613095 -515.76658681   -0.12381645  -10.78673593   -0.02627337	  -0.11485004    0.05699416 -508.91247703   -0.13460337  -10.64331945    0.02162320	 -0.05242320  -0.07036046 -15.38521699 -46.81569935   6.02825250  -0.29169034   0.03361740  -0.15585475 -15.23606954 -45.92939764   5.93334905  -0.30341717  -0.00124470  15.55552445  -0.34426019   0.00044227   0.93541967   0.25550056   0.15275035  -2.08556316  -0.03468900  -0.18069668  -0.00037552   0.00047958  -0.51033752  -0.00588926  -0.93265144  -0.25758395  -0.15154321   2.08696220   0.03034608   0.18073280   0.00098348	 0.00001323 -0.00000949 -0.23668127  0.58959508 -0.35354205 -0.00002156  0.00001003 -0.00001196 -0.23669881  0.58968620 -0.35362062 -0.00001889 -0.00001080 -0.00020885 -0.00000038  0.30001163  0.29999645  1.49999810 -1.26999714 -1.00105065 -0.00000177 -1.00000021  0.00000559 -0.00000210  0.00000274 -0.30000882 -0.30000033 -1.49999790  1.27000789  1.00104631 -0.00000313  1.00000377  0.00000587	 0.00014644  0.00000086 -0.00008996 -0.00007785  0.00006204 -0.00002855  0.00001848 -0.00005046 -0.00000344 -0.00003190 -0.00021088  0.00001689 -0.00018528 -0.00002425  0.00001110  0.00022286 -0.00000642 -0.00006666  0.00007124 -0.00001055 -0.00004609 -0.00002113  0.00011377 -0.00010045  0.00005888 -0.00016627  0.00001017 -0.00003682  0.00017342 -0.00013993 -0.00005893  0.00005481  0.00017766	 0.00003501  0.00002790  0.00000118  0.00005248  0.00010207  0.00001686  0.00000937 -0.00005284 -0.00006159 -0.00003145 -0.00005682 -0.00018863  0.00000207 -0.00006034 -0.00006858 -0.00001756 -0.00003789 -0.00014263 -0.00000319  0.00001161 -0.00000163 -0.00000441  0.00000260 -0.00000149  0.00000170  0.00000263  0.00000063  0.00000010 -0.00000010 -0.00000188 -0.00000444 -0.00000104 -0.00000814  0.00000471  0.00000120 -0.00000166  0.00000024  0.00000007 -0.00000003	
0.03991900	0.02162545	0.00000000	  -0.23320189    0.10694924 -492.73947144   -0.19823325    4.32469034   -0.03549167	  -0.30181170    0.09983300 -486.35211182   -0.20329653    4.27358150    0.03599966	  -0.09149597    0.09013708 -515.63217635   -0.17671848  -10.82130803   -0.03342404	  -0.15131826    0.08345580 -509.06677994   -0.18261080  -10.68247439    0.02909036	 -0.07064653  -0.12580700 -15.41535115 -46.92592758   6.00400082  -0.40487449   0.03982743  -0.20558379 -15.29063002 -46.02746764   5.89971170  -0.40119368  -0.03793096  15.48593572  -0.34256894   0.00340995   0.92529657   0.25876158   0.15010493  -2.08183966  -0.03589154  -0.18158707   0.00109696  -0.00019525  -0.50846721  -0.00130398  -0.92815025  -0.26137532  -0.15096668   2.08116339   0.03410155   0.18059378   0.00039757	-0.00000019 -0.00000850 -0.23668626  0.58959372 -0.35353676 -0.00001991  0.00001208 -0.00000299 -0.23669551  0.58969384 -0.35361715 -0.00001598  0.00000324 -0.00021076 -0.00000555  0.30000029  0.29999706  1.50000449 -1.27000099 -1.00104900  0.00000416 -1.00000205 -0.00000101 -0.00000795  0.00000463 -0.29999878 -0.30000701 -1.50000198  1.27000685  1.00104211  0.00000911  1.00000236 -0.00000198	-0.00018786  0.00002522 -0.00020597 -0.00011028  0.00020266  0.00001441  0.00007662  0.00016814  0.00008510  0.00014765 -0.00012024  0.00008776  0.00017020 -0.00005980 -0.00012459 -0.00006803 -0.00000179  0.00008568 -0.00002076  0.00003679  0.00010822 -0.00007413 -0.00004684 -0.00024045  0.00010869  0.00008503 -0.00015417 -0.00013014  0.00014594 -0.00024764  0.00025063  0.00003124 -0.00003251	 0.00004563  0.00002782  0.00000128  0.00009045  0.00014061  0.00002375  0.00001362 -0.00007522 -0.00008594 -0.00004337 -0.00007827 -0.00027184  0.00000337 -0.00008631 -0.00009560 -0.00002394 -0.00005218 -0.00020425 -0.00000473  0.00001628 -0.00000239 -0.00000561  0.00000356 -0.00000194  0.00000239  0.00000367  0.00000087  0.00000009 -0.00000013 -0.00000241 -0.00000630 -0.00000191 -0.00001171  0.00000662  0.00000173 -0.00000228  0.00000035  0.00000010 -0.00000004	
0.04492800	0.02385663	0.00000000	  -0.25250840    0.13968818 -492.50741577   -0.26277807    4.28442812   -0.04599436	  -0.34810382    0.13737695 -486.57412720   -0.25667995    4.23954964    0.04098503	  -0.11605262    0.12135633 -515.42533502   -0.24699555  -10.86181392   -0.04431696	  -0.19908010    0.11960272 -509.28761212   -0.24334446  -10.73112323    0.03577755	 -0.08613653  -0.17483876 -15.43820389 -47.01651630   5.98495003  -0.51519200   0.04317242  -0.25079669 -15.33674276 -46.11124512   5.87064852  -0.48820619  -0.02049958  15.38443750  -0.33621619   0.00223832   0.92186469   0.25861063   0.14421163  -2.06975124  -0.02922828  -0.18037856   0.00229469  -0.00048267  -0.50498617  -0.00707076  -0.90935436  -0.25504316  -0.15433623   2.07135698   0.03160544   0.17928772  -0.00115375	 0.00001144 -0.00000147 -0.23668119  0.58959448 -0.35353565 -0.00001719  0.00000364 -0.00001280 -0.23669438  0.58968048 -0.35361230 -0.00001968 -0.00000035 -0.00020377  0.00000650  0.30001061  0.30000814  1.50000322 -1.27000948 -1.00105450 -0.00000955 -1.00000764  0.00000916 -0.00000546  0.00000780 -0.30000183 -0.29999162 -1.50000512  1.26999928  1.00105254  0.00000443  0.99999862  0.00000888	 0.00009835  0.00020305 -0.00007848 -0.00008490  0.00021452  0.00008158 -0.00012960 -0.00007110  0.00010423 -0.00018155  0.00000509 -0.00000399  0.00007825  0.00011391  0.00017350  0.00017525  0.00025633  0.00005310 -0.00021973 -0.00009598 -0.00022795 -0.00020444  0.00020135 -0.00017586  0.00018865  0.00000869  0.00022293 -0.00019879 -0.00004191  0.00000847  0.00012964 -0.00005295  0.00022109	 0.00005890  0.00002767  0.00000141  0.00014159  0.00019253  0.00003634  0.00001708 -0.00010398 -0.00011875 -0.00005846 -0.00010601 -0.00038275  0.00000259 -0.00011967 -0.00013052 -0.00003258 -0.00007058 -0.00028714 -0.00000550  0.00002261 -0.00000335 -0.00000671  0.00000456 -0.00000226  0.00000334  0.00000492  0.00000118  0.00000006 -0.00000019 -0.00000313 -0.00000908 -0.00000306 -0.00001629  0.00000892  0.00000240 -0.00000309  0.00000049  0.00000011 -0.00000005	
0.04945000	0.02610058	0.00000000	  -0.31600505    0.22124209 -492.19259644   -0.38046047    4.22625017   -0.05953433	  -0.42959854    0.22023256 -486.93676758   -0.34386340    4.18709135    0.05102183	  -0.16149664    0.18140186 -515.17977545   -0.33351856  -10.90322392   -0.05387080	  -0.25981058    0.17846155 -509.55050673   -0.31170314  -10.78275307    0.04440816	 -0.11623052  -0.26768586 -15.48152027 -47.18836621   5.94770927  -0.71236024   0.05071668  -0.33540676 -15.42228157 -46.26715612   5.81747052  -0.64883577   0.02962830  15.33501711  -0.32495627  -0.00289988   0.92453763   0.25318691   0.15896048  -2.05224583  -0.03452068  -0.18059511  -0.00021669  -0.00021341  -0.50435980   0.00182900  -0.90798664  -0.25610470  -0.14597280   2.06431436   0.03416285   0.17764929   0.00050144	 0.00001453 -0.00001252 -0.23668339  0.58959520 -0.35355219 -0.00003597  0.00000772 -0.00000615 -0.23670726  0.58968064 -0.35361883 -0.00001714 -0.00001064 -0.00020141 -0.00000303  0.30000943  0.29999264  1.49999339 -1.26999236 -1.00105621  0.00000161 -1.00000223 -0.00000517  0.00000156 -0.00000743 -0.30001001 -0.29999551 -1.49999713  1.27000519  1.00104512  0.00000122  1.00000459  0.00000702	 0.00016918 -0.00007113 -0.00011766 -0.00006751 -0.00018665 -0.00037496 -0.00002799  0.00009472 -0.00021645 -0.00017868 -0.00014820  0.00005786 -0.00018702  0.00016719 -0.00007125  0.00014995 -0.00013664 -0.00018352  0.00020735 -0.00013500  0.00004973 -0.00007327 -0.00015280 -0.00000135 -0.00019694 -0.00020831  0.00012590  0.00000178  0.00009928 -0.00017158  0.00004239  0.00010102  0.00016745	 0.00007049  0.00002741  0.00000155  0.00017878  0.00023113  0.00004897  0.00001474 -0.00011945 -0.00013721 -0.00006677 -0.00011598 -0.00044015 -0.00000279 -0.00014019 -0.00015141 -0.00003282 -0.00007503 -0.00031508 -0.00000337  0.00002634 -0.00000588 -0.00000518  0.00000296 -0.00000254  0.00000404  0.00000533  0.00000120 -0.00000015 -0.00000021 -0.00000266 -0.00001113 -0.00000523 -0.00002012  0.00000826  0.00000283 -0.00000351  0.00000054  0.00000004 -0.00000005	
